variable,problema,transformacion,justificacion,riesgo,casos_afectados_en_muestra
DEPARTAMENTO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
DEPARTAMENTO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
DEPARTAMENTO,valor fuera del catalogo oficial (ver profiler.detectar_fuera_de_catalogo),ninguna: marcar para revision manual,"el catalogo tiene solo 23 valores; cualquier variante nueva es o un typo o un valor invalido, y son pocos casos como para automatizar el mapeo con confianza",autocorregir a ciegas por similitud de texto podria asignar un establecimiento al departamento equivocado; se revisa a mano contra profiling/valores_problematicos.csv,ver profiling/hallazgos.csv
DEPARTAMENTO,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
DIRECCION,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",11
DIRECCION,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,93
DIRECCION,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"mas alto que en las categoricas: son nombres propios (ej. ESTABLECIMIENTO), y el enunciado pide conservar la ortografia; mayusculizar no cambia letras pero SI pierde cualquier estilizacion de mayusculas que fuera intencional (poco probable, pero no se puede verificar solo con la columna)",0
DIRECCION,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,13
DIRECCION,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",15
DIRECTOR,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",76
DIRECTOR,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"mas alto que en las categoricas: son nombres propios (ej. ESTABLECIMIENTO), y el enunciado pide conservar la ortografia; mayusculizar no cambia letras pero SI pierde cualquier estilizacion de mayusculas que fuera intencional (poco probable, pero no se puede verificar solo con la columna)",0
DIRECTOR,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,494
DIRECTOR,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",304
DIRECTOR,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,379
DISTRITO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,80
DISTRITO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",80
DISTRITO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,80
ESTABLECIMIENTO,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",63
ESTABLECIMIENTO,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"mas alto que en las categoricas: son nombres propios (ej. ESTABLECIMIENTO), y el enunciado pide conservar la ortografia; mayusculizar no cambia letras pero SI pierde cualquier estilizacion de mayusculas que fuera intencional (poco probable, pero no se puede verificar solo con la columna)",0
ESTABLECIMIENTO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,224
ESTABLECIMIENTO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",1
ESTABLECIMIENTO,posibles typos entre nombres de establecimiento (ver profiler.detectar_typos_establecimiento),ninguna: marcar para revision manual,rapidfuzz ya senala los pares candidatos; fusionarlos automaticamente es el riesgo mas alto de todo el dataset,dos establecimientos legitimos y distintos pueden tener nombres parecidos (ej. dos sedes de un mismo colegio); fusionarlos sin revisar perderia un registro real,ver profiling/hallazgos.csv
ESTABLECIMIENTO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,1
JORNADA,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
JORNADA,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
JORNADA,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
JORNADA,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
JORNADA,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
MODALIDAD,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
MODALIDAD,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
MODALIDAD,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
MODALIDAD,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
MODALIDAD,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
MUNICIPIO,valor fuera del catalogo de su departamento (hay nombres homonimos en mas de un departamento),ninguna: marcar para revision manual,"mismo motivo que DEPARTAMENTO, agravado porque el municipio solo es valido dentro de su departamento (ej. TACTIC en ALTA VERAPAZ)",un mapeo automatico por similitud de texto podria reasignar un municipio homonimo al departamento equivocado,ver profiling/hallazgos.csv
MUNICIPIO,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
MUNICIPIO,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
MUNICIPIO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
MUNICIPIO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
MUNICIPIO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
NIVEL,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
NIVEL,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
NIVEL,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
NIVEL,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
NIVEL,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
PLAN,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
PLAN,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
PLAN,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
PLAN,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
PLAN,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
SECTOR,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
SECTOR,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
SECTOR,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
SECTOR,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
SECTOR,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
STATUS,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"bajo: son categoricas de dominio cerrado, casi todo el dataset ya viene en mayusculas",0
STATUS,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",0
STATUS,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,0
STATUS,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",0
STATUS,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,0
SUPERVISOR,mayusculas inconsistentes,normalizar_mayusculas,unifica bajo la convencion dominante del dataset (mayusculas) para que 'guatemala' y 'GUATEMALA' no cuenten como categorias distintas,"mas alto que en las categoricas: son nombres propios (ej. ESTABLECIMIENTO), y el enunciado pide conservar la ortografia; mayusculizar no cambia letras pero SI pierde cualquier estilizacion de mayusculas que fuera intencional (poco probable, pero no se puede verificar solo con la columna)",0
SUPERVISOR,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",1
SUPERVISOR,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,99
SUPERVISOR,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,80
SUPERVISOR,puntuacion sobrante al inicio o final,quitar_puntuacion_borde,"quita restos de puntuacion que no aportan informacion ('01-' -> '01'), preservando parentesis y comillas legitimas (ver detectores.detectar_delimitadores_desbalanceados)","bajo, pero depende de que los delimitadores desbalanceados ya se hayan revisado; si no, se puede dejar un parentesis o comilla sin su cierre",4
TELEFONO,"caracteres invisibles (nbsp, tabs, saltos de linea, etc.)",quitar_invisibles,no se ven en pantalla pero rompen comparaciones exactas y agrupaciones: dos 'COBAN' con y sin \xa0 cuentan como categorias distintas,"bajo: se reemplazan por un espacio normal, nunca se borran, asi que no pegan palabras que estaban separadas",158
TELEFONO,"faltantes representados de formas distintas (celda vacia, \xa0, N/A, NULL, ---, etc.)",normalizar_faltantes,"unifica bajo un solo NA para que las estadisticas de faltantes y los conteos de valores unicos no queden repartidos entre '', '\xa0' y 'N/A' como si fueran categorias distintas",un centinela puede ser ambiguo: '0' esta en la lista de centinelas (detectores.CENTINELAS) pero podria ser un valor real en una variable numerica que no sea TELEFONO/CODIGO; revisar antes de aplicar fuera de esas dos,158
TELEFONO,telefono con mas de un numero en la celda,separar_telefono_multivalor,"se queda con el primer numero de la celda como telefono principal; el resto no se descarta (deberia guardarse en una columna TELEFONO_2, ver riesgo)","el 'primer numero' es una convencion arbitraria y podria no ser el principal; el numero descartado tiene que guardarse aparte para no perder informacion, no solo botarse",16
TELEFONO,telefono fuera de formato (no son 8 digitos),normalizar_telefono,quita separadores y espacios que no deberian estar en un numero de telefono; si tras limpiarlo no quedan 8 digitos no se fuerza el formato,un telefono con una letra de mas ('12345678A') podria quedar en 8 digitos 'validos' por coincidencia sin que el numero real sea correcto; una regla de formato no puede detectar eso,1
TELEFONO,espacios al inicio/final o multiples espacios internos,normalizar_espacios,mismo motivo: 'COBAN' y 'COBAN ' no deberian contar como valores distintos,minimo; un espacio interno multiple casi nunca es intencional en este dataset,160
